,tweets,sentiment,subjectivity,type
781, #JoeBiden #Election2020 #SuperTuesday,0.0,0.0,Neutral
780,Please read this email I sent to my fed delegation and act accordingly #Election2020 ,0.0,0.0,Neutral
1858," 🔁#Arizona US Senate #Election2020-Nov-3.Support MARK KELLY #AZsen,&amp; 👉RT!#YesWeCan #Fl…",0.0,0.0,Neutral
1859, #Arizona Elect🌟MARK KELLY🌟#AZSENRegstr🎓https:/…,0.0,0.0,Neutral
795,Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016… ,0.0,0.0,Neutral
1837, Re-Elect🌟DOUG JONES🌟#ALSENInfo🎓…,0.0,0.0,Neutral
1851," 🔁#Colorado US Senate #Election2020-Nov-3.Support JOHN HICKENLOOPER #COSEN, &amp; 👉RT!#Yes…",0.0,0.0,Neutral
798,So Putin’s dream #Election2020 ticket is #BernieSandersvs Trump.,0.0,0.0,Neutral
1839, . is voting for . Here’s why. #Election2020 ,0.0,0.0,Neutral
1840, #Minnesota Re-Elect🌟TINA SMITH🌟#MNSENVote EarlyRegister…,0.0,0.0,Neutral
814," Damn, I've been had! Praising #Mike2020 daily4free! I must be #Patriot! Don't want2lose #Election2020! #Russians helping #B…",0.0,0.0,Neutral
1842," 🔁#Michigan US Senate #Election2020-Nov-3.Support Sen. GARY PETERS #MISEN, &amp; 👉RT!#YesW…",0.0,0.0,Neutral
1843, #Michigan Re-Elect🌟GARY PETERS🌟#MISENRegstr🎓https…,0.0,0.0,Neutral
1845," 🔁#NewHampshire US Senate #Election2020-Nov-3.Support Sen. JEANNE SHAHEEN #NHSen, &amp; 👉RT…",0.0,0.0,Neutral
810," Looks like...less than 3 weeks!👌🏻🤣👍🏻 Never stop being you, ...with each shovel load of #RussianCollusion you heap…",0.0,0.0,Neutral
1846, #NewHampshire Re-Elect🌟Sen. JEANNE SHAHEEN🌟#NHSENRegstr…,0.0,0.0,Neutral
1847," 🔁#NewMexico U.S. Senator #Election2020-Nov-3.Support BEN RAY LUJÁN #NMSen, &amp; 👉RT!#NMp…",0.0,0.0,Neutral
805," #AOC #Election2020 #BernieSanders #Bernie2020 #Bernie #DemDebates #NevadaAll public functions, including #healthcare…",0.0,0.06666666666666667,Neutral
1848, #NewMexico Elect🌟BEN RAY LUJÁN🌟for #NMSENRegistr🎓…,0.0,0.0,Neutral
803,"#AOC #Election2020 #BernieSanders #Bernie2020 #Bernie #DemDebates #NevadaAll public functions, including… ",0.0,0.06666666666666667,Neutral
1849," 🔁#Maine U.S. Senate #Election2020-Nov-3.Support SARA GIDEON #MESEN, &amp; 👉RT!#YesWeCan #…",0.0,0.0,Neutral
1850, #Maine Elect🌟SARA GIDEON🌟 #MESENRegisterPolls 🎓h…,0.0,0.0,Neutral
800,#Trump embarks on search for disloyalty as purge escalates#Election2020#impeachment #GOP #Republicans,0.0,0.0,Neutral
797,#Election2020 #Sanders2020,0.0,0.0,Neutral
951,"We hadon the show to discuss her husbandcampaign, the upcoming #NevadaCaucus and relationships… ",0.0,0.0,Neutral
867, Everyone the DNC opposes...__ #MEMES #memesdaily #voting #conservatives #trump2020 #kag2020 #kag #el…,0.0,0.0,Neutral
871,#Biden #Election2020 #QuidProJoe ,0.0,0.0,Neutral
1756,PETA Says Pigeons Can Be Harmed Wearing MAGA Hats#Election2020 via ,0.0,0.0,Neutral
1757," BREAKING: #Election2020 to Be Decided on Basis of Sandwich TransparencyBroke: eating Woke: eating , bil…",0.0,0.0,Neutral
1759, Let’s flip this poll!! #patriots #TrumpPence2020 Please answer then retweet !! #GodisGood #GodIsLove,0.0,0.0,Neutral
1760,😧....🤨CALIFORNIA🤨?,0.0,0.0,Neutral
924,Maybeshouldn't be forcing caucus volunteers to sign NDAs. With all this election tampering going on transp… ,0.0,0.0,Neutral
923,"1. ⤵️2. **Vote** - check your registration, remind your friends and family. Perhaps pass this on, see if they agr… ",0.0,0.0,Neutral
922,"Landslide.,#Election2020 ",0.0,0.0,Neutral
921, Trump2020 ❤❤#Election2020 GO TRUMP ,0.0,0.0,Neutral
920, Here we go... flip this switch!,0.0,0.0,Neutral
919,I'm an American Citizen and I don't want Joe Biden to be President.Does that make me a Russian asset?This blame… ,0.0,0.0,Neutral
918, Trump2020 ❤❤#Election2020 GO TRUMP ,0.0,0.0,Neutral
917, Here we go... flip this switch!,0.0,0.0,Neutral
1761,Megatron 2020 - Peace Through Tyranny - All Stickers $2 + Sitewide Sale Today … ,0.0,0.0,Neutral
1762, #ThanksMom #Mom #Mother#ThanksYang #ThanksBernie#Yang2020 #BernieSanders2020 #YangGang #NotMeUs#NevadaCaucus #Nevada…,0.0,0.0,Neutral
1765, Let’s flip this poll!! #patriots #TrumpPence2020 Please answer then retweet !! #GodisGood #GodIsLove …,0.0,0.0,Neutral
1752, Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016#Election…,0.0,0.0,Neutral
1767, #PresidentSanders#BernieWonIowa #BernieWonNewHampshire#BernieBeatsTrump#BerniesGonnaWin#NevadaCaucus #SouthCarolina#Fe…,0.0,0.0,Neutral
1751, Currently trending as the #8 Rap Album on #iTunes - please go support(Bryson Gray) and grab his latest…,0.0,0.4,Neutral
934,"Why isavoiding community forums? 70 people showed up,&amp;showed up b… ",0.0,0.0,Neutral
1741, Attn #California!NPP ballots are being sent to registered Dems. DO NOT CAST THAT BALLOT. There are no presidential candid…,0.0,0.0,Neutral
948, यह हाल मुंडका इंड…,0.0,0.0,Neutral
1742,No #BernieSandersor#PeteButtigieg .... #Buttigieg #Sanders #Election2020 #2020election,0.0,0.0,Neutral
1744, Attn #California!NPP ballots are being sent to registered Dems. DO NOT CAST THAT BALLOT. There are no presidential candid…,0.0,0.0,Neutral
945, Democrats stop blaming Russia for your election losses you are the only ones to blame when you lose!!!#Blackconservati…,0.0,1.0,Neutral
944," Damn, I've been had! Praising #Mike2020 daily4free! I must be #Patriot! Don't want2lose #Election2020! #Russians helping #B…",0.0,0.0,Neutral
1746, Attn #California!NPP ballots are being sent to registered Dems. DO NOT CAST THAT BALLOT. There are no presidential candid…,0.0,0.0,Neutral
1747," Nevada Independent: While A Sanders Victory Seems Likely, no One Knows How Nevada’s Democratic Caucus Will go Otherwise #E…",0.0,0.5625,Neutral
941, Attn #California!NPP ballots are being sent to registered Dems. DO NOT CAST THAT BALLOT. There are no presidential candid…,0.0,0.0,Neutral
1748,#PresidentSanders#BernieWonIowa #BernieWonNewHampshire#BernieBeatsTrump#BerniesGonnaWin#NevadaCaucus… ,0.0,0.0,Neutral
1749, Attn #California!NPP ballots are being sent to registered Dems. DO NOT CAST THAT BALLOT. There are no presidential candid…,0.0,0.0,Neutral
1750, Attn #California!NPP ballots are being sent to registered Dems. DO NOT CAST THAT BALLOT. There are no presidential candid…,0.0,0.0,Neutral
937,These dogmas you force on others are pagan in origin.To make lawsbecause of unprovable ideas that you accept as… ,0.0,0.0,Neutral
936, Here we go... flip this switch!,0.0,0.0,Neutral
935, Apropos -&gt;,0.0,0.0,Neutral
933, Here we go... flip this switch! ,0.0,0.0,Neutral
870, Thank you ~ #MisfitBlackGirls #Bernie2020 vs #Oligarchy #BILLIONAIRE #Election2020 is about #Oligarchs ~W…,0.0,0.0,Neutral
911, Trump2020 ❤❤#Election2020 GO TRUMP ,0.0,0.0,Neutral
909," From a post on this date in 2016 — nine months later, America virtually said “hold my beer” — Trump happened.This humorous…",0.0,0.0,Neutral
888,#Election2020 -I SWEAR -if all the companies FIRED their employees that DID their jobs -they would not have a pot t… ,0.0,0.0,Neutral
1774,RT @_: PETA Says Pigeons Can Be Harmed Wearing MAGA Hats#Election2020 via ,0.0,0.0,Neutral
1775,Putin: Feeling cute...watering my plant.__ #MEMES #memesdaily #voting #conservatives… ,0.0,0.0,Neutral
885,ELECTION 2020 TALKING POINTS FOR TRUMP SYCOPHANTS No. 2#Election2020 🚫🍊#TrumpSycophantsOnIce ‼️ ,0.0,0.0,Neutral
1776,#California #CaliforniaPrimary #Election2020 #Elecciones2020 #Democrats #BernieSanders #NotMeUs … ,0.0,0.0,Neutral
1777, Attn #California!NPP ballots are being sent to registered Dems. DO NOT CAST THAT BALLOT. There are no presidential candid…,0.0,0.0,Neutral
1778,#TulsideservesOurVote ✊🌺💯✌️❤️,0.0,0.0,Neutral
1779, Yup! Same one.,0.0,0.125,Neutral
1780,RT @_: Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016#El…,0.0,0.0,Neutral
879," Damn, I've been had! Praising #Mike2020 daily4free! I must be #Patriot! Don't want2lose #Election2020! #Russians helping #B…",0.0,0.0,Neutral
878, Shitty ripoff of the #Obama poster is a mood and for #Election2020 I’m here for it. #Bloomberg #BernieSanders #MayorPete #…,0.0,0.0,Neutral
877," Damn, I've been had! Praising #Mike2020 daily4free! I must be #Patriot! Don't want2lose #Election2020! #Russians helping #B…",0.0,0.0,Neutral
876,Shitty ripoff of the #Obama poster is a mood and for #Election2020 I’m here for it. #Bloomberg #BernieSanders… ,0.0,0.0,Neutral
873, 😅 after Castro dropped there was only ever 2 viable choices to me and for Reasons I won't give an… ,0.0,1.0,Neutral
872, Which #JasonJohnson? THIS Jason Johnson? The one Yvette Carnell eviscerated a while back? 😏 #ados #reparations #election2…,0.0,0.0,Neutral
889,,0.0,0.0,Neutral
1768,#PresidentSanders#BernieWonIowa #BernieWonNewHampshire#BernieBeatsTrump#BerniesGonnaWin#NevadaCaucus… ,0.0,0.0,Neutral
890, Thank you ~ #MisfitBlackGirls #Bernie2020 vs #Oligarchy #BILLIONAIRE #Election2020 is about #Oligarchs ~W…,0.0,0.0,Neutral
1772,Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016… ,0.0,0.0,Neutral
908, Calling on Christians to FLIP THIS POLL!! Please &amp; Thank you I hope you have a blessed day.,0.0,0.0,Neutral
1769, Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016#Election…,0.0,0.0,Neutral
1770,ALERT! California Dem Voters!,0.0,0.0,Neutral
905,Trump2020 ❤❤#Election2020 GO TRUMP ,0.0,0.0,Neutral
904,Open #News #AI #Edu &amp; #Singularity Award … ,0.0,0.5,Neutral
903, #TrumpRussia #Election2020 #ImpeachAndRemoveTrump,0.0,0.0,Neutral
902,Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016… ,0.0,0.0,Neutral
1692,Just over a day left to have your voice be heard on this question-… ,0.0,0.0,Neutral
1771," All I can say to lowlife racist like you is that last month when I was in USA, 95% I talked to, supporte… ",0.0,0.06666666666666667,Neutral
899, Here we go... flip this switch!,0.0,0.0,Neutral
898, Say word.... #wssu,0.0,0.0,Neutral
897,Here we go... flip this switch!,0.0,0.0,Neutral
895,The Socialist Delusions of Bernie Sanders() #Election2020,0.0,0.0,Neutral
894,MSM keeps telling me pro-Bernie twitterers are bullies. The biggest bullies I see in my Twitter feed are anti-Berni… ,0.0,0.0,Neutral
893,… ,0.0,0.0,Neutral
1773, Twitter suspends 70 Bloomberg-boosting accounts for violating company policy #Election2020 ,0.0,0.0,Neutral
1024," Looks like...less than 3 weeks!👌🏻🤣👍🏻 Never stop being you, ...with each shovel load of #RussianCollusion you heap…",0.0,0.0,Neutral
1157,@_Do Not ROB the AMERICAN DREAM from the American children #USA #American #America #Election2020,0.0,0.0,Neutral
1691," ""Socialists don’t like people to do things for themselves. Socialists like to get people dependent on the state. You never build a…",0.0,0.0,Neutral
1294, The truth that #msnbc n #CNN won’t show you!#socialism #socialismsucks #berniesanders #bernie2020 #bernie #medicaid #medica…,0.0,0.0,Neutral
1292, Go caucus. Find your site here: If you wanna know why you have to go to the site in your neig…,0.0,0.0,Neutral
1291, FYI Democrat Voters re: news that Russia is again interfering to re-elect Trump.Know what to look for. #Election2020 B…,0.0,0.0,Neutral
1290, #dumptrump #antitrump… ,0.0,0.0,Neutral
1289, TWITTER MANIPULATION!!! ,0.0,0.0,Neutral
1288, FYI Democrat Voters re: news that Russia is again interfering to re-elect Trump.Know what to look for. #Election2020 B…,0.0,0.0,Neutral
1295,#dumptrump #antitrump #nevertrump #notrump #trump #maga #trumptrain #election2020 #deplorables #donaldtrump… ,0.0,0.0,Neutral
1538, Your thoughts?,0.0,0.0,Neutral
1283, Here we go... flip this switch!,0.0,0.0,Neutral
1282,Thank you Governor Desantis every State should institute and confirm e-verify for all persons seeking employment.,0.0,0.0,Neutral
1281,#dumptrump #antitrump #nevertrump #notrump #trump #maga #trumptrain #election2020 #deplorables #donaldtrump… ,0.0,0.0,Neutral
1280,2020 Presidential Election News Update🗞:Will Sanders pass the Nevada test?#Election2020 #News,0.0,0.0,Neutral
1539, Your thoughts?,0.0,0.0,Neutral
1278,#dumptrump #antitrump #nevertrump #notrump #trump #maga #trumptrain #election2020 #deplorables #donaldtrump… ,0.0,0.0,Neutral
1284,#dumptrump #antitrump #nevertrump #notrump #trump #maga #trumptrain #election2020 #deplorables #donaldtrump… ,0.0,0.0,Neutral
1537, #ThanksMom #Mom #Mother#ThanksYang #ThanksBernie#Yang2020 #BernieSanders2020 #YangGang #NotMeUs#NevadaCaucus #Nevada…,0.0,0.0,Neutral
1297, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,0.0,0.0,Neutral
1536,Y’all need Jesus ,0.0,0.0,Neutral
1535,RT : The intent of #TruthBot is to use #CivicTech to create a white hat #bot brigade that will protect underrepresented ppl fro…,0.0,0.0,Neutral
1315, Ep 11: Malpractice Magnifies Mini Mike’s Shortcomings #Election2020 ,0.0,0.0,Neutral
1314,Je t’aime moi non plus... un jour ils sont bien ensemble et le lendemain c’est l’inverse... on dirait des gosses !… ,0.0,0.0,Neutral
1313, 🗣👁📢𝟚𝟘𝟚𝟘: 𝕋𝕙𝕖 𝕐𝕖𝕒𝕣 𝕠𝕗 𝔸𝕔𝕥𝕚𝕧𝕚𝕤𝕞#Election2020 #Vote2020 #USA #1A ,0.0,0.0,Neutral
1312, …,0.0,0.0,Neutral
1311, TWITTER MANIPULATION!!!,0.0,0.0,Neutral
1310, … ,0.0,0.0,Neutral
1309,#dumptrump #antitrump #nevertrump #notrump #trump #maga #trumptrain #election2020 #deplorables #donaldtrump… ,0.0,0.0,Neutral
1308,TWITTER MANIPULATION!!!,0.0,0.0,Neutral
1305, Which #JasonJohnson? THIS Jason Johnson? The one Yvette Carnell eviscerated a while back? 😏 #ados #reparations #election2…,0.0,0.0,Neutral
1304,… ,0.0,0.0,Neutral
1303, Facebook executive admits company gave #Trump his 2016 election victory ––and could do it again on Nov. 3. #DeleteFaceboo…,0.0,0.0,Neutral
1302, Everyone the DNC opposes...__ #MEMES #memesdaily #voting #conservatives #trump2020 #kag2020 #kag #el…,0.0,0.0,Neutral
1301,"Bernie Sanders’ surge has party elders rattled, as Nevada poised to boost momentum#FoxNews #Election2020",0.0,0.0,Neutral
1300, Everyone the DNC opposes...__ #MEMES #memesdaily #voting #conservatives #trump2020 #kag2020 #kag #el…,0.0,0.0,Neutral
1276,Nina from tonite,0.0,0.0,Neutral
1275,#dumptrump #antitrump #nevertrump #notrump #trump #maga #trumptrain #election2020 #deplorables #donaldtrump… ,0.0,0.0,Neutral
1274, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,0.0,0.0,Neutral
1272," Bernie attacked Planned Parenthood, voted against the Brady bill, attacks the media, attacks the democratic party, suppo…",0.0,0.0,Neutral
1246, …,0.0,0.0,Neutral
1552,Following all and RT 👍👌 #koronawirus #2AShallNotBeInfringed #boohillary #AcquittedForever #berniegulogs… ,0.0,0.1,Neutral
1243,Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016… ,0.0,0.0,Neutral
1554," Whatever happens at the convention, don’t say I didnt try. And just knowif there is fuckery this will be my last bal…",0.0,0.06666666666666667,Neutral
1235,#Election2020,0.0,0.0,Neutral
1233," Som om inte tidigare #FakeNews räckte, Putin är nu ute efter att infiltrera #Election2020 och ge sitt stöd till både …",0.0,0.0,Neutral
1232,"Som om inte tidigare #FakeNews räckte, Putin är nu ute efter att infiltrera #Election2020 och ge sitt stöd till båd… ",0.0,0.0,Neutral
1231,#CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3… ,0.0,0.0,Neutral
1230,WE MUST HAVE PAPER BACKUPS AT ALL POLLING LOCATIONS! #PaperBallots #RussianInterference #CallYourSenatorsNow… ,0.0,0.0,Neutral
1228," Damn, I've been had! Praising #Mike2020 daily4free! I must be #Patriot! Don't want2lose #Election2020! #Russians helping #B…",0.0,0.0,Neutral
1226,"This is what #Gaslighting on a national scale looks like, it implies that we should accept whoever the DNC craps ou… ",0.0,0.0,Neutral
1224, Mais ta gueule ,0.0,0.0,Neutral
1222, Here we go... flip this switch!,0.0,0.0,Neutral
1221, 🗣👁📢𝟚𝟘𝟚𝟘: 𝕋𝕙𝕖 𝕐𝕖𝕒𝕣 𝕠𝕗 𝔸𝕔𝕥𝕚𝕧𝕚𝕤𝕞#Election2020 #Vote2020 #USA #1A ,0.0,0.0,Neutral
1558, . is voting for . Here’s why. #Election2020 ,0.0,0.0,Neutral
1551, 10 Reasons Why You Should Reject Socialism - TFP Student Actionplease read &amp; share #social…,0.0,0.0,Neutral
1319," DID marry her brother and said she would 'do what she had to do to get him ""papers"" h…",0.0,0.0,Neutral
1248, Thank you for stating so definitely that you want the Russians out of American politics. Thank you f… ,0.0,0.25,Neutral
1550," ""Socialists don’t like people to do things for themselves. Socialists like to get people dependent on the state. You never build a…",0.0,0.0,Neutral
1271, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,0.0,0.0,Neutral
1269," Som om inte tidigare #FakeNews räckte, Putin är nu ute efter att infiltrera #Election2020 och ge sitt stöd till både …",0.0,0.0,Neutral
1268, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,0.0,0.0,Neutral
1267, WE MUST HAVE PAPER BACKUPS AT ALL POLLING LOCATIONS! #PaperBallots #RussianInterference #CallYourSenatorsNow #Election…,0.0,0.0,Neutral
1266,#VA #Virginia #Elections #Election2020,0.0,0.0,Neutral
1545, #PresidentSanders#BernieWonIowa #BernieWonNewHampshire#BernieBeatsTrump#BerniesGonnaWin#NevadaCaucus #SouthCarolina#Fe…,0.0,0.0,Neutral
1547, Your thoughts?,0.0,0.0,Neutral
1263,"You would like that, wouldn't you? Makes immigration fraud easier too. How are the investiga… ",0.0,0.0,Neutral
1548, #UsNotMe #PresidentBernieSanders #BernieSanders ,0.0,0.0,Neutral
1260," What about video fakes done in the garage, without any #AI sophistication?Facebook ban:#Ar…",0.0,0.0,Neutral
1259,"What about video fakes done in the garage, without any #AI sophistication?Facebook ban: … ",0.0,0.0,Neutral
1256, Joe Biden 🇺🇸 THREAD✔ #issues #ForThePeople#Election2020#JoeBiden #VoteBlueNoMatterWho,0.0,0.0,Neutral
1255, Here we go... flip this switch!,0.0,0.0,Neutral
1254, So Putin’s dream #Election2020 ticket is #BernieSandersvs Trump.,0.0,0.0,Neutral
1252,#CNN - 2/21/2020 -interviewingtalking about the potential for Russian Bots emulating… ,0.0,0.5,Neutral
1249,#CNN - 2/21/2020 -interviewingtalking about the leak of the story that Russia is trying to… ,0.0,0.0,Neutral
1322," Damn, I've been had! Praising #Mike2020 daily4free! I must be #Patriot! Don't want2lose #Election2020! #Russians helping #B…",0.0,0.0,Neutral
1323, … ,0.0,0.0,Neutral
1325,U.S. Officials Inform Sanders That Russia Is Trying to Help His Campaign#Election2020 via ,0.0,0.0,Neutral
1475,This short clip says it all... Remember the Dem convention in 2016...no flags in view until we noted it. They sudde… ,0.0,0.3,Neutral
1396, #Election2020 #centerpiece Helen Wang would prioritize fiscal responsibility in San Josehttps:/…,0.0,0.0,Neutral
1395,One day left to flip the Santanists poll that they are trying to push!,0.0,0.0,Neutral
1394, Here we go... flip this switch! ,0.0,0.0,Neutral
1393,,0.0,0.0,Neutral
1478, Bill-Gates-is-a-lot-younger-a-lot-smarter-and-not-a-sexist-racist-misogynistKnows-how-to-run-compl… ,0.0,0.0,Neutral
1391,🚂🚂🚂🚂🚂🚂🚂🚂🚂🚂Flip This Poll!👇👇👇👇👇👇👇👇👇👇,0.0,0.0,Neutral
1479, #RussianInterference #Election2020 #Democrats2020 #TrumpRussia2020 #DemCast #DemCastFL #DumpTrump #DumpTrump2020 https://…,0.0,0.0,Neutral
1482,"The United States Constitution, Art. 6, Para. 3.What part of “no religious test” can you not understand, you crav… ",0.0,0.25,Neutral
1387,My thought voting for each Presidential Candidate #Election20201. Sanders (Wooh! Let's wipe out my debt!)2. Warr… ,0.0,0.0,Neutral
1483,Shameful,0.0,0.0,Neutral
1385, Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016 …,0.0,0.0,Neutral
1384,"2020 Presidential Election News Update🗞:Twitter suspends 70 paid, pro-Bloomberg accounts for copy-and-paste scheme… ",0.0,0.0,Neutral
1383,WATCH: Shameful moment when the only American flag is removed from Democratic debate stage #DemocraticDebate… ,0.0,0.5,Neutral
1382, 🇺🇸 Watch as the only American flag is removed from the #DemocraticDebate prior to candidates taking the stage.I find…,0.0,0.3333333333333333,Neutral
1398, I interviewedCommissioneryesterday on the agency's potential funding increase for FY 2021 &amp; how…,0.0,1.0,Neutral
1379,"With #Trump at the helm, #Election2020 will be outright #rigged &amp; bought. #TheEndOfDemocracy #BillionairesRUs… ",0.0,0.0,Neutral
1474,Bu seçki dairəsi buraxıla bilər- Məzahir Pənahov #MSK #Baku #MilliMəclis #deputy #Election2020 #Azerbaijan,0.0,0.0,Neutral
1403, I interviewedCommissioneryesterday on the agency's potential funding increase for FY 2021 &amp; how…,0.0,1.0,Neutral
1424,_ …,0.0,0.0,Neutral
1430,"#BlackPeopleTwitter who you voting for:""Stop 'n Frisk"" Bloomberg?""Lock em and Throw Away The Key"" Klobuchar?""… ",0.0,1.0,Neutral
1432,Flip it Patriots!,0.0,0.0,Neutral
1419, #Election2020,0.0,0.0,Neutral
1433,,0.0,0.0,Neutral
1437, Anti American thugs are running on the democratic ticket for POTUS! ,0.0,0.0,Neutral
1439, Last night whenstarted calling out the Communists. 🤣__ #MEMES #memesdaily #voting #c…,0.0,0.06666666666666667,Neutral
1414,Une campagne sans agressivité et dans la bonhumeur ça fait du bien de voir ça #lesmureaux #electionmunicipale2020… ,0.0,0.0,Neutral
1443, …,0.0,0.0,Neutral
1459,AMERICA REMEMBER WHO WE ARE🇺🇸 #homeofthefree #landofthebrave #unitedwestand #vote #EnoughIsEnough #America #Election2020 #BlueWave2020,0.0,0.0,Neutral
1460, I interviewedCommissioneryesterday on the agency's potential funding increase for FY 2021 &amp; how…,0.0,1.0,Neutral
1408,RT : The intent of #TruthBot is to use #CivicTech to create a white hat #bot brigade that will protect underrepresented ppl fro…,0.0,0.0,Neutral
1465, Twitter suspends 70 Bloomberg-boosting accounts for violating company policy #Election2020 ,0.0,0.0,Neutral
1467,The democratic Party isn't Democratic. The Democratic nominee won't be democratically chosen. The Democratic Establ… ,0.0,0.0,Neutral
1468, I’m endorsingfor Vice President. #Election2020,0.0,0.0,Neutral
1473, The Fix is in DMV has Defaulted thousands of Republicans to Democrat Ballots!Coincidence We t…,0.0,0.0,Neutral
1219," Looks like...less than 3 weeks!👌🏻🤣👍🏻 Never stop being you, ...with each shovel load of #RussianCollusion you heap…",0.0,0.0,Neutral
1490, Your thoughts?,0.0,0.0,Neutral
1494,#Tulsi4thePeople #Tulsi2020,0.0,0.0,Neutral
1517, . discusses the power of the vote and the fight for political power at the 2020#BlackHistoryLunche…,0.0,0.1,Neutral
1518,👇,0.0,0.0,Neutral
1519, Your thoughts?,0.0,0.0,Neutral
1521,#Election2020Let Der Fuhrer keep WI and PA. His weakest point is Florida.Obama carried twice.DeSantis won by on… ,0.0,0.0,Neutral
1526, Twitter suspends 70 Bloomberg-boosting accounts for violating company policy #Election2020 ,0.0,0.0,Neutral
1338,U.S. Officials Inform Sanders That Russia Is Trying to Help His Campaign#Election2020 via ,0.0,0.0,Neutral
1527,Fullstatement on #Election2020 interference by #Russia. ,0.0,0.0,Neutral
1528, . is voting for . Here’s why. #Election2020 ,0.0,0.0,Neutral
1333, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,0.0,0.0,Neutral
1529, Your thoughts?,0.0,0.0,Neutral
1532,"We hope you find the help you need,Source: #uspolitics #media… ",0.0,0.0,Neutral
1330, Which #JasonJohnson? THIS Jason Johnson? The one Yvette Carnell eviscerated a while back? 😏 #ados #reparations #election2…,0.0,0.0,Neutral
1328, #CNN - 2/21/2020 -interviewingtalking about Russia trying to benefit #BernieSanders 1/3#HELLOS…,0.0,0.0,Neutral
1327, Which #JasonJohnson? THIS Jason Johnson? The one Yvette Carnell eviscerated a while back? 😏 #ados #reparations #election2…,0.0,0.0,Neutral
1326, …,0.0,0.0,Neutral
1345," Pas besoin de campagne.... on les connait tous déjà.Et on les vire sitôt qu'ils font les cons, sans… ",0.0,0.0,Neutral
1491, . is voting for . Here’s why. #Election2020 ,0.0,0.0,Neutral
1516, #PresidentSanders#BernieWonIowa #BernieWonNewHampshire#BernieBeatsTrump#BerniesGonnaWin#NevadaCaucus #SouthCarolina#Fe…,0.0,0.0,Neutral
1348,🇺🇸 Watch as the only American flag is removed from the #DemocraticDebate prior to candidates taking the stage.I f… ,0.0,0.3333333333333333,Neutral
1497, Twitter suspends 70 Bloomberg-boosting accounts for violating company policy #Election2020 ,0.0,0.0,Neutral
1499," ""Socialists don’t like people to do things for themselves. Socialists like to get people dependent on the state. You never build a…",0.0,0.0,Neutral
1500,"... and as we know from recent reports, Russia is doing their darnedest to keep us divided.#Election2020… ",0.0,0.25,Neutral
1365,What will happen to the stock market if a Democrat takes the White House in 2021? Chief Income Strategist Marc Lich… ,0.0,0.0,Neutral
1364, Calling on Christians to FLIP THIS POLL!! Please &amp; Thank you I hope you have a blessed day.,0.0,0.0,Neutral
1504, Twitter suspends 70 Bloomberg-boosting accounts for violating company policy #Election2020 ,0.0,0.0,Neutral
1506," The United States Constitution, Art. 6, Para. 3.What part of “no religious test” can you not understand, you craven,…",0.0,0.25,Neutral
1508, Here we go... flip this switch! ,0.0,0.0,Neutral
1360, Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016#Election…,0.0,0.0,Neutral
1359,#Bloomberg #MichaelBloomberg #Election2020 #CAFA #ConsciousAwarenessForAll #MeritFreeman… ,0.0,0.0,Neutral
1509, Your thoughts?,0.0,0.0,Neutral
1511," We need to turn this poll around. There’s one day left, let’s show the non-Christians who’s stronger.Please retwee…",0.0,0.0,Neutral
1512, Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016#Election…,0.0,0.0,Neutral
1513,#WakeUpAmerica #Election2020,0.0,0.0,Neutral
1349,Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016… ,0.0,0.0,Neutral
1515, Your thoughts? ,0.0,0.0,Neutral
1217,2020 Presidential Election News Update🗞:Intelligence community feels immediate impact of Trump's diplomatic 'disru… ,0.0,0.0,Neutral
1214," declared 'Illegitimate' because #Russia did it, &amp; where else does this… ",0.0,0.0,Neutral
1212,#VoteRed2020#VoteTrump2020#KAG#Election2020#VoteGOP2020,0.0,0.0,Neutral
1642, Don't take your vote with you!Check your vote and put your vote in the ballot box!You can be a Texas voter with…,0.0,0.0,Neutral
